InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1143,1121009028957,14.2,0.05,24.09557,21.00498,53706.29337,0
1143,1121009028957,14.27,0.06,24.09558,21.00497,53706.3027,0
1143,1121009028957,14.34,0.06,24.09557,21.00498,53706.31214,0
1143,1121009028957,14.37,0.06,24.09556,21.00495,53706.32154,0
1143,1121009028957,14.14,0.05,24.0956,21.00497,53712.15876,0
1143,1121009028957,14.18,0.05,24.09561,21.00498,53712.16597,0
1143,1121009028957,14.2,0.05,24.09558,21.00497,53712.17317,0
1143,1121009028957,14.24,0.06,24.09559,21.005,53712.1804,0
1143,1121009028957,14.06,0.05,24.0956,21.00497,53728.10884,0
1143,1121009028957,14.06,0.05,24.09561,21.00497,53728.1174,0
1143,1121009028957,14.07,0.05,24.09561,21.00497,53728.12594,0
1143,1121009028957,14.14,0.05,24.0956,21.00498,53728.13445,0
1143,1121009028957,14.17,0.05,24.09561,21.00497,53699.22508,0
1143,1121009028957,14.1,0.05,24.09562,21.005,53699.23262,0
1143,1121009028957,14.06,0.05,24.09561,21.00499,53699.24014,0
1143,1121009028957,14.03,0.05,24.09558,21.00499,53699.24767,0
1143,1121009028957,14.35,0.06,24.09559,21.00499,53672.29645,0
1143,1121009028957,14.31,0.06,24.09559,21.00498,53672.3018,0
1143,1121009028957,14.26,0.05,24.09559,21.00499,53672.30737,0
1143,1121009028957,14.21,0.05,24.09558,21.00499,53672.31274,0
1143,1121009028957,14.1,0.05,24.09562,21.00498,53637.40188,0
1143,1121009028957,14.15,0.05,24.09562,21.00499,53637.41,0
1143,1121009028957,14.2,0.05,24.09562,21.00499,53637.41812,0
1143,1121009028957,14.22,0.06,24.0956,21.00502,53637.42625,0
1143,1121009028957,14.06,0.05,24.09562,21.00498,53643.37207,0
1143,1121009028957,14.09,0.05,24.0956,21.00499,53643.38142,0
1143,1121009028957,14.15,0.05,24.09559,21.00497,53643.39074,0
1143,1121009028957,14.2,0.05,24.09559,21.00498,53643.40001,0
1143,1121009028957,14.25,0.06,24.09557,21.00495,54084.15437,0
1143,1121009028957,14.28,0.05,24.09558,21.00496,54084.16133,0
1143,1121009028957,14.34,0.05,24.09558,21.00498,54084.16834,0
1143,1121009028957,14.36,0.06,24.09558,21.00498,54084.17533,0
1143,1121009028957,14.24,0.05,24.0956,21.00495,54094.18112,0
1143,1121009028957,14.22,0.05,24.09561,21.00496,54094.19159,0
1143,1121009028957,14.19,0.05,24.09558,21.00497,54094.20204,0
1143,1121009028957,14.15,0.05,24.09561,21.00497,54094.21248,0
1143,1121009028957,14.22,0.06,24.09557,21.00496,53773.13864,0
1143,1121009028957,14.24,0.06,24.09556,21.00497,53773.14617,0
1143,1121009028957,14.21,0.05,24.09554,21.00499,53773.15372,0
1143,1121009028957,14.18,0.05,24.09554,21.00498,53773.16125,0
1143,1121009028957,14.06,0.05,24.09562,21.00498,53740.07575,0
1143,1121009028957,14.07,0.05,24.09559,21.00498,53740.08215,0
1143,1121009028957,14.09,0.05,24.09559,21.00499,53740.08854,0
1143,1121009028957,14.14,0.05,24.09559,21.00498,53740.09491,0
1143,1121009028957,14.16,0.05,24.09561,21.00497,53759.13481,0
1143,1121009028957,14.13,0.05,24.09559,21.00498,53759.14161,0
1143,1121009028957,14.1,0.05,24.09556,21.00498,53759.1484,0
1143,1121009028957,14.07,0.05,24.09557,21.00499,53759.15518,0
1143,1121009028957,14.23,0.05,24.0956,21.00496,54053.23616,0
1143,1121009028957,14.25,0.05,24.0956,21.00497,54053.24262,0
1143,1121009028957,14.25,0.06,24.09561,21.00496,54053.24908,0
1143,1121009028957,14.22,0.06,24.09562,21.00497,54053.25553,0
1143,1121009028957,14.07,0.05,24.09562,21.00498,54062.1749,0
1143,1121009028957,14.11,0.05,24.09559,21.00497,54062.1803,0
1143,1121009028957,14.13,0.05,24.09562,21.00497,54062.18571,0
1143,1121009028957,14.16,0.05,24.09561,21.00499,54062.19111,0
1143,1121009028957,14.24,0.05,24.0956,21.00499,54027.26302,0
1143,1121009028957,14.23,0.05,24.0956,21.00497,54027.27161,0
1143,1121009028957,14.19,0.05,24.0956,21.00498,54027.28019,0
1143,1121009028957,14.14,0.05,24.09559,21.00498,54027.28881,0
1143,1121009028957,14.19,0.05,24.09561,21.00498,54035.2882,0
1143,1121009028957,14.21,0.05,24.0956,21.00499,54035.29547,0
1143,1121009028957,14.24,0.05,24.09559,21.00498,54035.30268,0
1143,1121009028957,14.24,0.05,24.09558,21.00498,54035.30989,0
1143,1121009028957,14.13,0.05,24.09558,21.00497,53994.40848,0
1143,1121009028957,14.1,0.05,24.09557,21.00499,53994.41463,0
1143,1121009028957,14.06,0.05,24.0956,21.00496,53994.42078,0
1143,1121009028957,14.06,0.05,24.09558,21.00499,53994.42693,0
1143,1121009028957,14.22,0.05,24.0956,21.005,54006.34542,0
1143,1121009028957,14.19,0.05,24.09561,21.00497,54006.35273,0
1143,1121009028957,14.16,0.05,24.0956,21.00496,54006.36004,0
1143,1121009028957,14.11,0.05,24.09558,21.00498,54006.36731,0
1143,1121009028957,14.23,0.05,24.09557,21.00497,54450.19154,0
1143,1121009028957,14.22,0.05,24.09558,21.00499,54450.19811,0
1143,1121009028957,14.2,0.05,24.0956,21.00498,54450.20469,0
1143,1121009028957,14.18,0.05,24.09556,21.00499,54450.21126,0
1143,1121009028957,14.2,0.05,24.09561,21.00495,54465.15752,0
1143,1121009028957,14.17,0.05,24.09558,21.00497,54465.16399,0
1143,1121009028957,14.15,0.05,24.09558,21.00497,54465.17045,0
1143,1121009028957,14.12,0.05,24.09557,21.00497,54465.17691,0
1143,1121009028957,14.28,0.06,24.09557,21.00497,54110.14953,0
1143,1121009028957,14.33,0.06,24.09557,21.00494,54110.15651,0
1143,1121009028957,14.35,0.06,24.09556,21.00498,54110.16352,0
1143,1121009028957,14.36,0.06,24.09556,21.00497,54110.17051,0
1143,1121009028957,14.07,0.05,24.09558,21.00498,54116.18945,0
1143,1121009028957,14.03,0.05,24.0956,21.00495,54116.19553,0
1143,1121009028957,14.01,0.05,24.09556,21.00498,54116.20151,0
1143,1121009028957,14.,0.05,24.09557,21.00492,54116.20748,0
1143,1121009028957,14.14,0.05,24.09556,21.00497,54128.14215,0
1143,1121009028957,14.1,0.05,24.09553,21.00496,54128.14698,0
1143,1121009028957,14.05,0.05,24.09556,21.00497,54128.15181,0
1143,1121009028957,14.05,0.05,24.09554,21.00496,54128.15664,0
1143,1121009028957,14.31,0.06,24.09562,21.00493,54276.46594,0
1143,1121009028957,14.29,0.06,24.09566,21.00497,54276.46719,0
1143,1121009028957,14.31,0.06,24.09565,21.00498,54276.46846,0
1143,1121009028957,14.27,0.06,24.09565,21.00491,54276.46972,0
1143,1121009028957,14.11,0.05,24.09567,21.00496,54278.43971,0
1143,1121009028957,14.08,0.05,24.09562,21.00495,54278.4473,0
1143,1121009028957,14.05,0.05,24.09566,21.00495,54278.45487,0
1143,1121009028957,14.06,0.05,24.09562,21.00497,54278.46243,0
1143,1121009028957,14.15,0.05,24.0956,21.00497,54405.26072,0
1143,1121009028957,14.07,0.05,24.0956,21.00497,54405.26962,0
1143,1121009028957,14.05,0.05,24.09559,21.00498,54405.27685,0
1143,1121009028957,14.02,0.05,24.09558,21.00499,54405.29162,0
1143,1121009028957,14.13,0.05,24.09558,21.00499,54412.27766,0
1143,1121009028957,14.1,0.05,24.09558,21.00498,54412.28261,0
1143,1121009028957,14.08,0.05,24.09558,21.00499,54412.28755,0
1143,1121009028957,14.05,0.05,24.0956,21.00498,54412.2925,0
1143,1121009028957,14.22,0.05,24.0956,21.00499,54381.33635,0
1143,1121009028957,14.09,0.05,24.09559,21.00499,54381.34913,0
1143,1121009028957,14.03,0.05,24.09558,21.005,54381.36186,0
1143,1121009028957,14.02,0.05,24.09559,21.00499,54381.37461,0
1143,1121009028957,14.16,0.05,24.09558,21.00498,54387.38498,0
1143,1121009028957,14.2,0.05,24.09557,21.00496,54387.39378,0
1143,1121009028957,14.21,0.05,24.09557,21.00497,54387.40264,0
1143,1121009028957,14.22,0.05,24.09555,21.00497,54387.41141,0
1143,1121009028957,14.07,0.05,24.09565,21.00492,54394.23292,0
1143,1121009028957,14.02,0.05,24.09559,21.005,54394.24367,0
1143,1121009028957,14.03,0.05,24.09561,21.00497,54394.25447,0
1143,1121009028957,14.07,0.05,24.0956,21.00497,54394.26522,0
1143,1121009028957,14.25,0.05,24.09558,21.00498,54348.4453,0
1143,1121009028957,14.18,0.05,24.09559,21.00501,54348.45312,0
1143,1121009028957,14.1,0.05,24.09557,21.00499,54348.46115,0
1143,1121009028957,14.05,0.05,24.09557,21.00498,54348.46893,0
1143,1121009028957,14.36,0.06,24.09559,21.00499,54355.32063,0
1143,1121009028957,14.36,0.06,24.09559,21.00498,54355.32714,0
1143,1121009028957,14.33,0.05,24.0956,21.00499,54355.33367,0
1143,1121009028957,14.29,0.05,24.09563,21.00497,54355.34021,0
1143,1121009028957,14.01,0.05,24.09562,21.00498,54362.27807,0
1143,1121009028957,13.98,0.05,24.09566,21.00497,54362.28476,0
1143,1121009028957,14.03,0.05,24.0956,21.00499,54362.29134,0
1143,1121009028957,14.06,0.05,24.0956,21.00498,54362.298,0
1143,1121009028957,14.04,0.05,24.09558,21.00497,54821.21246,0
1143,1121009028957,14.07,0.05,24.09557,21.00498,54821.22038,0
1143,1121009028957,14.14,0.05,24.0956,21.00498,54821.22825,0
1143,1121009028957,14.2,0.05,24.09558,21.00496,54821.23604,0
1143,1121009028957,14.16,0.05,24.09554,21.00495,54514.1121,0
1143,1121009028957,14.19,0.05,24.09554,21.00496,54514.11698,0
1143,1121009028957,14.22,0.05,24.09558,21.00498,54514.12187,0
1143,1121009028957,14.21,0.05,24.09557,21.00497,54514.12677,0
1143,1121009028957,14.04,0.05,24.09561,21.00499,54476.13435,0
1143,1121009028957,14.07,0.05,24.09559,21.00497,54476.14032,0
1143,1121009028957,14.1,0.05,24.09558,21.00498,54476.14627,0
1143,1121009028957,14.13,0.05,24.0956,21.00499,54476.15226,0
1143,1121009028957,14.06,0.05,24.0956,21.00497,54773.26946,0
1143,1121009028957,14.1,0.05,24.09557,21.00498,54773.27555,0
1143,1121009028957,14.13,0.05,24.0956,21.00499,54773.28169,0
1143,1121009028957,14.17,0.05,24.09561,21.00497,54773.28771,0
1143,1121009028957,14.01,0.05,24.09562,21.00498,54787.27717,0
1143,1121009028957,14.01,0.05,24.0956,21.00496,54787.28374,0
1143,1121009028957,14.04,0.05,24.09559,21.00498,54787.29048,0
1143,1121009028957,14.07,0.05,24.09559,21.00498,54787.29712,0
1143,1121009028957,14.16,0.05,24.0956,21.00497,54800.19201,0
1143,1121009028957,14.21,0.05,24.09559,21.00499,54800.2012,0
1143,1121009028957,14.26,0.05,24.0956,21.00497,54800.21032,0
1143,1121009028957,14.28,0.05,24.0956,21.00499,54800.21951,0
1143,1121009028957,14.29,0.05,24.09558,21.00499,54745.38511,0
1143,1121009028957,14.22,0.05,24.09555,21.00498,54745.39114,0
1143,1121009028957,14.16,0.05,24.09557,21.00499,54745.39725,0
1143,1121009028957,14.1,0.05,24.09558,21.00498,54745.40329,0
1143,1121009028957,14.32,0.05,24.09559,21.005,54763.28957,0
1143,1121009028957,14.37,0.05,24.09559,21.00498,54763.30132,0
1143,1121009028957,14.35,0.05,24.09559,21.00498,54763.31303,0
1143,1121009028957,14.25,0.05,24.09558,21.00498,54763.32476,0
1143,1121009028957,14.39,0.06,24.09561,21.00497,54732.26117,0
1143,1121009028957,14.35,0.05,24.09562,21.00498,54732.26944,0
1143,1121009028957,14.28,0.05,24.09563,21.00498,54732.2776,0
1143,1121009028957,14.2,0.05,24.09561,21.005,54732.28583,0
1143,1121009028957,14.14,0.05,24.09563,21.00495,55061.45081,0
1143,1121009028957,14.18,0.05,24.09561,21.00497,55061.4569,0
1143,1121009028957,14.21,0.05,24.09561,21.00498,55061.46301,0
1143,1121009028957,14.27,0.05,24.09563,21.00495,55061.46912,0
1143,1121009028957,14.05,0.05,24.0956,21.00497,55178.13101,0
1143,1121009028957,14.04,0.05,24.0956,21.00495,55178.13904,0
1143,1121009028957,14.08,0.05,24.09559,21.00496,55178.14704,0
1143,1121009028957,14.12,0.05,24.0956,21.00495,55178.15508,0
1143,1121009028957,14.35,0.05,24.09555,21.00498,54848.17237,0
1143,1121009028957,14.33,0.05,24.09555,21.00497,54848.1796,0
1143,1121009028957,14.29,0.05,24.09555,21.00496,54848.18688,0
1143,1121009028957,14.24,0.05,24.09555,21.00495,54848.19421,0
1143,1121009028957,14.08,0.05,24.09557,21.00495,55141.2321,0
1143,1121009028957,14.1,0.05,24.09558,21.00499,55141.23867,0
1143,1121009028957,14.16,0.05,24.09558,21.00498,55141.24519,0
1143,1121009028957,14.2,0.05,24.09558,21.00497,55141.25174,0
1143,1121009028957,14.25,0.05,24.09558,21.00498,55160.15299,0
1143,1121009028957,14.2,0.05,24.09558,21.00497,55160.161,0
1143,1121009028957,14.15,0.05,24.09561,21.00497,55160.169,0
1143,1121009028957,14.11,0.05,24.09558,21.00499,55160.1775,0
1143,1121009028957,14.23,0.05,24.09557,21.00495,55113.47051,0
1143,1121009028957,14.19,0.05,24.09557,21.00494,55113.47493,0
1143,1121009028957,14.19,0.05,24.0955,21.00494,55113.47934,0
1143,1121009028957,14.14,0.05,24.09556,21.00496,55113.48378,0
1143,1121009028957,14.26,0.05,24.09564,21.00494,55120.33793,0
1143,1121009028957,14.28,0.05,24.09564,21.00495,55120.34795,0
1143,1121009028957,14.25,0.05,24.09563,21.00495,55120.3581,0
1143,1121009028957,14.22,0.05,24.09564,21.00495,55120.36806,0
1143,1121009028957,14.23,0.05,24.09561,21.00499,55085.41087,0
1143,1121009028957,14.19,0.05,24.09558,21.00497,55085.41694,0
1143,1121009028957,14.18,0.05,24.09558,21.00498,55085.42296,0
1143,1121009028957,14.14,0.05,24.09556,21.00495,55085.42906,0
1143,1121009028957,14.08,0.05,24.09558,21.00499,55095.3557,0
1143,1121009028957,14.12,0.05,24.09559,21.00499,55095.36115,0
1143,1121009028957,14.17,0.05,24.09559,21.00499,55095.36672,0
1143,1121009028957,14.23,0.05,24.0956,21.00499,55095.37218,0
1143,1121009028957,14.34,0.06,24.09558,21.00498,55102.28375,0
1143,1121009028957,14.35,0.06,24.09558,21.00498,55102.291,0
1143,1121009028957,14.35,0.06,24.09561,21.00495,55102.29829,0
1143,1121009028957,14.32,0.06,24.0956,21.00499,55102.30557,0
1143,1121009028957,14.31,0.06,24.0956,21.005,55531.19554,0
1143,1121009028957,14.34,0.06,24.09556,21.00499,55531.2082,0
1143,1121009028957,14.31,0.06,24.09557,21.005,55531.2145,0
1143,1121009028957,14.26,0.06,24.09559,21.00496,55543.14496,0
1143,1121009028957,14.32,0.06,24.09557,21.00496,55543.16323,0
1143,1121009028957,14.33,0.06,24.09556,21.00497,55543.17233,0
1143,1121009028957,14.27,0.06,24.09555,21.00494,55241.09978,0
1143,1121009028957,14.23,0.05,24.09557,21.00494,55241.10779,0
1143,1121009028957,14.19,0.05,24.09556,21.00493,55241.11588,0
1143,1121009028957,14.15,0.05,24.09555,21.00493,55241.12392,0
1143,1121009028957,14.06,0.05,24.09557,21.00498,55210.08893,0
1143,1121009028957,14.04,0.05,24.09558,21.00496,55210.09567,0
1143,1121009028957,14.02,0.05,24.09559,21.00496,55210.10251,0
1143,1121009028957,14.04,0.05,24.09558,21.00495,55210.10934,0
1143,1121009028957,14.07,0.06,24.09563,21.00493,55505.25575,0
1143,1121009028957,14.03,0.05,24.09562,21.00494,55505.26715,0
1143,1121009028957,14.02,0.05,24.09559,21.00498,55505.27282,0
1143,1121009028957,14.15,0.05,24.09559,21.00498,55511.22614,0
1143,1121009028957,14.07,0.05,24.09559,21.00498,55511.23765,0
1143,1121009028957,14.04,0.05,24.09559,21.00498,55511.24342,0
1143,1121009028957,14.08,0.05,24.09558,21.00496,55470.32969,0
1143,1121009028957,14.16,0.05,24.09558,21.00499,55470.34109,0
1143,1121009028957,14.2,0.05,24.09557,21.00498,55470.34684,0
1143,1121009028957,14.09,0.05,24.09559,21.00498,55478.34629,0
1143,1121009028957,14.03,0.05,24.09557,21.00498,55478.36473,0
1143,1121009028957,14.04,0.05,24.09559,21.00498,55478.37395,0
1143,1121009028957,14.17,0.05,24.09559,21.00498,55497.19603,0
1143,1121009028957,14.08,0.05,24.09559,21.00498,55497.20982,0
1143,1121009028957,14.04,0.05,24.09558,21.00501,55497.21672,0
1143,1121009028957,14.28,0.06,24.09561,21.00498,55456.34423,0
1143,1121009028957,14.27,0.06,24.09559,21.00496,55456.35717,0
1143,1121009028957,14.25,0.06,24.09559,21.00497,55456.36361,0
1143,1121009028957,14.22,0.05,24.09559,21.00498,55564.11781,0
1143,1121009028957,14.16,0.05,24.09558,21.00499,55564.12519,0
1143,1121009028957,14.09,0.05,24.09559,21.00497,55564.13254,0
1143,1121009028957,14.05,0.05,24.09556,21.00498,55564.14115,0
1143,1121009028957,14.25,0.06,24.09557,21.00495,55587.11484,0
1143,1121009028957,14.22,0.06,24.09557,21.00496,55587.12169,0
1143,1121009028957,14.12,0.06,24.09558,21.00496,55587.12858,0
1143,1121009028957,14.08,0.05,24.09557,21.00496,55587.13547,0
1143,1121009028957,14.21,0.05,24.09566,21.00499,55862.27801,0
1143,1121009028957,14.16,0.05,24.09566,21.00499,55862.2884,0
1143,1121009028957,14.1,0.05,24.09563,21.00496,55862.29863,0
1143,1121009028957,14.06,0.05,24.09566,21.00496,55862.30898,0
1143,1121009028957,14.22,0.05,24.09562,21.00498,55828.42999,0
1143,1121009028957,14.25,0.05,24.09562,21.00495,55828.43784,0
1143,1121009028957,14.26,0.05,24.09561,21.00496,55828.44573,0
1143,1121009028957,14.27,0.05,24.09562,21.00497,55828.45354,0
1143,1121009028957,14.07,0.05,24.09563,21.00498,55834.36675,0
1143,1121009028957,14.06,0.05,24.09564,21.00498,55834.37626,0
1143,1121009028957,14.09,0.05,24.09564,21.00498,55834.38574,0
1143,1121009028957,14.11,0.05,24.09562,21.00498,55834.39525,0
1143,1121009028957,14.11,0.05,24.09565,21.00498,55883.13285,0
1143,1121009028957,14.1,0.05,24.09567,21.00497,55883.13799,0
1143,1121009028957,14.13,0.05,24.09565,21.00498,55883.14304,0
1143,1121009028957,14.16,0.05,24.09565,21.00498,55883.14822,0
1143,1121009028957,14.37,0.06,24.09563,21.00494,55851.32701,0
1143,1121009028957,14.39,0.06,24.09565,21.00498,55851.33658,0
1143,1121009028957,14.35,0.05,24.09563,21.00493,55851.3463,0
1143,1121009028957,14.28,0.05,24.09564,21.00496,55851.35603,0
1143,1121009028957,14.32,0.05,24.09563,21.00497,55892.25327,0
1143,1121009028957,14.37,0.06,24.09562,21.00498,55892.25952,0
1143,1121009028957,14.41,0.06,24.09564,21.00497,55892.26581,0
1143,1121009028957,14.41,0.06,24.09565,21.00496,55892.27217,0
1143,1121009028957,14.23,0.05,24.0956,21.00496,55935.17824,0
1143,1121009028957,14.21,0.05,24.09562,21.00497,55935.18585,0
1143,1121009028957,14.18,0.05,24.09563,21.00497,55935.19353,0
1143,1121009028957,14.19,0.05,24.09549,21.00499,55935.20117,0
1143,1121009028957,14.32,0.06,24.09561,21.0049,55945.15169,0
1143,1121009028957,14.35,0.06,24.09559,21.00497,55945.15604,0
1143,1121009028957,14.38,0.06,24.09561,21.00496,55945.16039,0
1143,1121009028957,14.38,0.06,24.09566,21.005,55945.16479,0
1143,1121009028957,14.16,0.05,24.0956,21.00497,55959.16339,0
1143,1121009028957,14.21,0.05,24.09558,21.00496,55959.16943,0
1143,1121009028957,14.26,0.05,24.09557,21.00493,55959.17554,0
1143,1121009028957,14.34,0.06,24.09562,21.00495,55959.18157,0
1143,1121009028957,14.26,0.05,24.09562,21.00494,55975.0941,0
1143,1121009028957,14.21,0.05,24.0956,21.00497,55975.10094,0
1143,1121009028957,14.14,0.05,24.09561,21.00495,55975.10779,0
1143,1121009028957,14.1,0.05,24.0956,21.00495,55975.11464,0
1143,1121009028957,14.22,0.05,24.09569,21.00498,56186.30706,0
1143,1121009028957,14.23,0.05,24.09569,21.00496,56186.31403,0
1143,1121009028957,14.19,0.05,24.09569,21.00498,56186.32102,0
1143,1121009028957,14.17,0.05,24.09565,21.00496,56186.32802,0
1143,1121009028957,14.18,0.05,24.09561,21.00499,56208.35147,0
1143,1121009028957,14.19,0.05,24.09564,21.00498,56208.35675,0
1143,1121009028957,14.22,0.05,24.09562,21.00497,56208.36182,0
1143,1121009028957,14.23,0.05,24.09563,21.00497,56208.36687,0
1143,1121009028957,14.35,0.06,24.09564,21.00496,56216.32303,0
1143,1121009028957,14.3,0.06,24.09561,21.00494,56216.32934,0
1143,1121009028957,14.25,0.05,24.09566,21.00496,56216.33562,0
1143,1121009028957,14.2,0.05,24.09564,21.00499,56216.34185,0
1143,1121009028957,14.13,0.06,24.09564,21.00498,56225.22984,0
1143,1121009028957,14.14,0.06,24.09564,21.00498,56225.23688,0
1143,1121009028957,14.2,0.06,24.09564,21.00499,56225.2439,0
1143,1121009028957,14.22,0.06,24.09569,21.00499,56225.25095,0
1143,1121009028957,14.3,0.06,24.09565,21.00499,56233.34945,0
1143,1121009028957,14.2,0.05,24.09561,21.00497,56233.35849,0
1143,1121009028957,14.13,0.05,24.09559,21.00499,56233.36749,0
1143,1121009028957,14.1,0.05,24.09563,21.00499,56233.37656,0
1143,1121009028957,14.14,0.05,24.09564,21.00497,56244.32795,0
1143,1121009028957,14.19,0.05,24.09561,21.00496,56244.33497,0
1143,1121009028957,14.26,0.05,24.09562,21.00497,56244.34203,0
1143,1121009028957,14.3,0.05,24.09561,21.00496,56244.34909,0
1143,1121009028957,14.22,0.05,24.09565,21.00499,56251.14441,0
1143,1121009028957,14.22,0.05,24.09573,21.00496,56251.14997,0
1143,1121009028957,14.23,0.05,24.09567,21.00499,56251.1556,0
1143,1121009028957,14.24,0.05,24.09568,21.00498,56251.16124,0
1143,1121009028957,14.11,0.05,24.09565,21.00496,56265.14545,0
1143,1121009028957,14.13,0.05,24.09566,21.00495,56265.1505,0
1143,1121009028957,14.15,0.05,24.09566,21.00497,56265.15555,0
1143,1121009028957,14.19,0.05,24.09567,21.00497,56265.16065,0
1143,1121009028957,14.21,0.05,24.09561,21.00497,56298.21735,0
1143,1121009028957,14.13,0.05,24.09563,21.00496,56298.2255,0
1143,1121009028957,14.07,0.05,24.09565,21.00496,56298.23381,0
1143,1121009028957,14.05,0.05,24.09562,21.00496,56298.24212,0
1143,1121009028957,14.15,0.05,24.09563,21.00499,56314.14078,0
1143,1121009028957,14.21,0.05,24.09559,21.00498,56314.14921,0
1143,1121009028957,14.23,0.05,24.09561,21.00498,56314.15769,0
1143,1121009028957,14.26,0.05,24.09566,21.00495,56314.16622,0
1143,1121009028957,14.08,0.05,24.09574,21.0049,56539.36733,0
1143,1121009028957,14.08,0.05,24.09573,21.00492,56539.37177,0
1143,1121009028957,14.06,0.05,24.09572,21.00491,56539.37624,0
1143,1121009028957,14.07,0.05,24.0957,21.00491,56539.38069,0
1143,1121009028957,14.25,0.06,24.09571,21.00493,56551.36425,0
1143,1121009028957,14.3,0.06,24.09573,21.00491,56551.36969,0
1143,1121009028957,14.36,0.06,24.09573,21.00491,56551.37538,0
1143,1121009028957,14.38,0.06,24.09573,21.00492,56551.38106,0
1143,1121009028957,14.17,0.05,24.09567,21.00496,56561.36332,0
1143,1121009028957,14.22,0.05,24.09567,21.00494,56561.37003,0
1143,1121009028957,14.25,0.05,24.09568,21.00495,56561.37683,0
1143,1121009028957,14.25,0.05,24.09566,21.00495,56561.38354,0
1143,1121009028957,14.11,0.05,24.09573,21.0049,56580.20549,0
1143,1121009028957,14.13,0.05,24.09572,21.0049,56580.21342,0
1143,1121009028957,14.17,0.05,24.09571,21.00492,56580.22136,0
1143,1121009028957,14.23,0.05,24.09572,21.00491,56580.22923,0
1143,1121009028957,14.23,0.05,24.09566,21.00493,56589.43125,0
1143,1121009028957,14.23,0.05,24.09567,21.00491,56589.43363,0
1143,1121009028957,14.25,0.06,24.09567,21.00493,56589.43601,0
1143,1121009028957,14.26,0.06,24.09568,21.00491,56589.43839,0
1143,1121009028957,14.29,0.06,24.0957,21.00493,56595.201,0
1143,1121009028957,14.24,0.05,24.09571,21.0049,56595.20604,0
1143,1121009028957,14.25,0.05,24.0957,21.00491,56595.21107,0
1143,1121009028957,14.23,0.05,24.09567,21.00492,56595.21611,0